subject_id,original_block_id,segment_id,fold_id,n_trials
5,s05_session005_run021,s05_session005_run021_segment01,1,226
5,s05_session005_run022,s05_session005_run022_segment01,4,221
5,s05_session006_run023,s05_session006_run023_segment01,1,221
5,s05_session006_run024,s05_session006_run024_segment01,4,226
5,s05_session006_run025,s05_session006_run025_segment01,1,202
5,s05_session006_run026,s05_session006_run026_segment01,3,204
5,s05_session006_run027,s05_session006_run027_segment01,3,226
6,s06_session001_run001,s06_session001_run001_segment01,1,204
6,s06_session001_run002,s06_session001_run002_segment01,1,221
6,s06_session001_run003,s06_session001_run003_segment01,3,226
6,s06_session001_run004,s06_session001_run004_segment01,3,202
6,s06_session001_run005,s06_session001_run005_segment01,4,226
6,s06_session002_run006,s06_session002_run006_segment01,1,202
6,s06_session002_run007,s06_session002_run007_segment01,2,221
6,s06_session002_run008,s06_session002_run008_segment01,1,226
6,s06_session002_run009,s06_session002_run009_segment01,1,204
6,s06_session002_run010,s06_session002_run010_segment01,2,226
6,s06_session003_run011,s06_session003_run011_segment01,4,204
6,s06_session003_run012,s06_session003_run012_segment01,2,221
6,s06_session003_run013,s06_session003_run013_segment01,3,226
6,s06_session003_run014,s06_session003_run014_segment01,3,202
6,s06_session003_run015,s06_session003_run015_segment01,2,226
6,s06_session004_run016,s06_session004_run016_segment01,4,226
6,s06_session004_run017,s06_session004_run017_segment01,4,204
6,s06_session004_run018,s06_session004_run018_segment01,3,226
6,s06_session004_run019,s06_session004_run019_segment01,1,221
6,s06_session004_run020,s06_session004_run020_segment01,2,202
6,s06_session005_run021,s06_session005_run021_segment01,1,226
6,s06_session005_run022,s06_session005_run022_segment01,2,226
6,s06_session005_run023,s06_session005_run023_segment01,4,221
6,s06_session005_run024,s06_session005_run024_segment01,3,204
6,s06_session005_run025,s06_session005_run025_segment01,4,202
6,s06_session006_run026,s06_session006_run026_segment01,3,221
6,s06_session006_run027,s06_session006_run027_segment01,3,204
6,s06_session006_run028,s06_session006_run028_segment01,2,226
6,s06_session006_run029,s06_session006_run029_segment01,4,202
6,s06_session006_run030,s06_session006_run030_segment01,1,226
6,s06_session007_run031,s06_session007_run031_segment01,1,202
6,s06_session007_run032,s06_session007_run032_segment01,2,204
6,s06_session007_run033,s06_session007_run033_segment01,4,226
6,s06_session007_run034,s06_session007_run034_segment01,3,221
6,s06_session007_run035,s06_session007_run035_segment01,4,226
7,s07_session001_run001,s07_session001_run001_segment01,2,215
7,s07_session001_run002,s07_session001_run002_segment01,3,207
7,s07_session001_run003,s07_session001_run003_segment01,3,213
7,s07_session001_run004,s07_session001_run004_segment01,3,215
7,s07_session002_run005,s07_session002_run005_segment01,2,215
7,s07_session002_run006,s07_session002_run006_segment01,4,215
7,s07_session002_run007,s07_session002_run007_segment01,2,207
7,s07_session002_run008,s07_session002_run008_segment01,4,215
7,s07_session003_run009,s07_session003_run009_segment01,4,213
7,s07_session003_run010,s07_session003_run010_segment01,1,215
7,s07_session003_run011,s07_session003_run011_segment01,1,215
7,s07_session003_run012,s07_session003_run012_segment01,1,215
7,s07_session004_run013,s07_session004_run013_segment01,4,202
7,s07_session004_run014,s07_session004_run014_segment01,1,226
7,s07_session004_run015,s07_session004_run015_segment01,4,204
7,s07_session004_run016,s07_session004_run016_segment01,2,221
7,s07_session004_run017,s07_session004_run017_segment01,3,226
7,s07_session005_run018,s07_session005_run018_segment01,1,221
7,s07_session005_run019,s07_session005_run019_segment01,2,226
7,s07_session005_run020,s07_session005_run020_segment01,1,204
7,s07_session005_run021,s07_session005_run021_segment01,2,226
7,s07_session005_run022,s07_session005_run022_segment01,1,202
7,s07_session006_run023,s07_session006_run023_segment01,4,226
7,s07_session006_run024,s07_session006_run024_segment01,3,204
7,s07_session006_run025,s07_session006_run025_segment01,3,202
7,s07_session006_run026,s07_session006_run026_segment01,1,221
7,s07_session006_run027,s07_session006_run027_segment01,3,226
8,s08_session001_run001,s08_session001_run001_segment01,3,207
8,s08_session001_run002,s08_session001_run002_segment01,3,215
8,s08_session001_run003,s08_session001_run003_segment01,4,215
8,s08_session001_run004,s08_session001_run004_segment01,2,213
8,s08_session002_run005,s08_session002_run005_segment01,2,213
8,s08_session002_run006,s08_session002_run006_segment01,4,215
8,s08_session002_run007,s08_session002_run007_segment01,3,215
8,s08_session002_run008,s08_session002_run008_segment01,2,215
8,s08_session003_run009,s08_session003_run009_segment01,1,207
8,s08_session003_run010,s08_session003_run010_segment01,1,215
8,s08_session003_run011,s08_session003_run011_segment01,1,215
8,s08_session003_run012,s08_session003_run012_segment01,1,215
8,s08_session004_run013,s08_session004_run013_segment01,1,226
8,s08_session004_run014,s08_session004_run014_segment01,3,226
8,s08_session004_run015,s08_session004_run015_segment01,4,204
8,s08_session004_run016,s08_session004_run016_segment01,2,202
8,s08_session004_run017,s08_session004_run017_segment01,1,221
8,s08_session005_run018,s08_session005_run018_segment01,3,221
8,s08_session005_run019,s08_session005_run019_segment01,1,202
8,s08_session005_run020,s08_session005_run020_segment01,2,226
8,s08_session005_run021,s08_session005_run021_segment01,2,204
8,s08_session005_run022,s08_session005_run022_segment01,2,226
8,s08_session006_run023,s08_session006_run023_segment01,3,204
8,s08_session006_run024,s08_session006_run024_segment01,3,226
8,s08_session006_run025,s08_session006_run025_segment01,4,202
8,s08_session006_run026,s08_session006_run026_segment01,4,226
8,s08_session006_run027,s08_session006_run027_segment01,4,221
9,s09_session001_run001,s09_session001_run001_segment01,3,221
9,s09_session001_run002,s09_session001_run002_segment01,1,204
9,s09_session001_run003,s09_session001_run003_segment01,2,226
9,s09_session001_run004,s09_session001_run004_segment01,4,226
9,s09_session001_run005,s09_session001_run005_segment01,1,202
9,s09_session002_run006,s09_session002_run006_segment01,3,226
9,s09_session002_run007,s09_session002_run007_segment01,2,204
9,s09_session002_run008,s09_session002_run008_segment01,4,221
9,s09_session002_run009,s09_session002_run009_segment01,1,226
9,s09_session002_run010,s09_session002_run010_segment01,3,202
9,s09_session003_run011,s09_session003_run011_segment01,1,221
9,s09_session003_run012,s09_session003_run012_segment01,2,226
9,s09_session003_run013,s09_session003_run013_segment01,4,226
9,s09_session003_run014,s09_session003_run014_segment01,1,202
9,s09_session003_run015,s09_session003_run015_segment01,3,204
9,s09_session004_run016,s09_session004_run016_segment01,3,202
9,s09_session004_run017,s09_session004_run017_segment01,3,204
9,s09_session004_run018,s09_session004_run018_segment01,2,226
9,s09_session004_run019,s09_session004_run019_segment01,4,226
9,s09_session004_run020,s09_session004_run020_segment01,2,221
9,s09_session005_run021,s09_session005_run021_segment01,1,204
9,s09_session005_run022,s09_session005_run022_segment01,1,226
9,s09_session005_run023,s09_session005_run023_segment01,1,221
9,s09_session005_run024,s09_session005_run024_segment01,1,226
9,s09_session005_run025,s09_session005_run025_segment01,2,202
9,s09_session006_run026,s09_session006_run026_segment01,2,221
9,s09_session006_run027,s09_session006_run027_segment01,4,202
9,s09_session006_run028,s09_session006_run028_segment01,4,204
9,s09_session006_run029,s09_session006_run029_segment01,4,226
9,s09_session006_run030,s09_session006_run030_segment01,3,226
9,s09_session007_run031,s09_session007_run031_segment01,1,226
9,s09_session007_run032,s09_session007_run032_segment01,4,221
9,s09_session007_run033,s09_session007_run033_segment01,3,226
9,s09_session007_run034,s09_session007_run034_segment01,2,204
9,s09_session007_run035,s09_session007_run035_segment01,4,202
9,s09_session008_run036,s09_session008_run036_segment01,4,204
9,s09_session008_run037,s09_session008_run037_segment01,3,221
9,s09_session008_run038,s09_session008_run038_segment01,2,202
9,s09_session008_run039,s09_session008_run039_segment01,2,226
9,s09_session008_run040,s09_session008_run040_segment01,3,226
10,s10_session001_run001,s10_session001_run001_segment01,2,226
10,s10_session001_run002,s10_session001_run002_segment01,2,202
10,s10_session001_run003,s10_session001_run003_segment01,4,221
10,s10_session001_run004,s10_session001_run004_segment01,2,204
10,s10_session001_run005,s10_session001_run005_segment01,3,226
10,s10_session002_run006,s10_session002_run006_segment01,4,202
10,s10_session002_run007,s10_session002_run007_segment01,3,226
10,s10_session002_run008,s10_session002_run008_segment01,2,204
10,s10_session002_run009,s10_session002_run009_segment01,2,226
10,s10_session002_run010,s10_session002_run010_segment01,3,221
10,s10_session003_run011,s10_session003_run011_segment01,4,226
10,s10_session003_run013,s10_session003_run013_segment01,3,221
10,s10_session003_run014,s10_session003_run014_segment01,4,226
10,s10_session003_run015,s10_session003_run015_segment01,2,202
10,s10_session004_run016,s10_session004_run016_segment01,4,221
10,s10_session004_run017,s10_session004_run017_segment01,3,204
10,s10_session004_run018,s10_session004_run018_segment01,1,226
10,s10_session004_run019,s10_session004_run019_segment01,3,202
10,s10_session005_run020,s10_session005_run020_segment01,4,204
10,s10_session005_run021,s10_session005_run021_segment01,2,221
10,s10_session005_run022,s10_session005_run022_segment01,2,226
10,s10_session005_run023,s10_session005_run023_segment01,3,226
10,s10_session005_run024,s10_session005_run024_segment01,1,202
10,s10_session006_run025,s10_session006_run025_segment01,1,221
10,s10_session006_run026,s10_session006_run026_segment01,1,226
10,s10_session006_run027,s10_session006_run027_segment01,4,226
10,s10_session006_run028,s10_session006_run028_segment01,1,204
10,s10_session006_run029,s10_session006_run029_segment01,3,202
11,s11_session001_run001,s11_session001_run001_segment01,3,221
11,s11_session001_run002,s11_session001_run002_segment01,4,226
11,s11_session001_run003,s11_session001_run003_segment01,1,204
11,s11_session001_run004,s11_session001_run004_segment01,4,202
11,s11_session001_run005,s11_session001_run005_segment01,4,226
11,s11_session002_run006,s11_session002_run006_segment01,3,226
11,s11_session002_run007,s11_session002_run007_segment01,1,204
11,s11_session002_run008,s11_session002_run008_segment01,4,202
11,s11_session002_run009,s11_session002_run009_segment01,4,221
11,s11_session002_run010,s11_session002_run010_segment01,4,226
11,s11_session003_run011,s11_session003_run011_segment01,3,226
11,s11_session003_run012,s11_session003_run012_segment01,2,202
11,s11_session003_run013,s11_session003_run013_segment01,1,226
11,s11_session003_run014,s11_session003_run014_segment01,2,221
11,s11_session003_run015,s11_session003_run015_segment01,2,204
11,s11_session004_run016,s11_session004_run016_segment01,1,226
11,s11_session004_run017,s11_session004_run017_segment01,3,204
11,s11_session004_run018,s11_session004_run018_segment01,1,221
11,s11_session004_run019,s11_session004_run019_segment01,2,202
11,s11_session004_run020,s11_session004_run020_segment01,3,226
11,s11_session005_run021,s11_session005_run021_segment01,3,202
11,s11_session005_run022,s11_session005_run022_segment01,2,226
11,s11_session005_run023,s11_session005_run023_segment01,1,221
11,s11_session005_run024,s11_session005_run024_segment01,1,226
11,s11_session005_run025,s11_session005_run025_segment01,4,204
11,s11_session006_run026,s11_session006_run026_segment01,4,221
11,s11_session006_run027,s11_session006_run027_segment01,2,204
11,s11_session006_run028,s11_session006_run028_segment01,2,226
11,s11_session006_run029,s11_session006_run029_segment01,2,226
11,s11_session006_run030,s11_session006_run030_segment01,1,202
12,s12_session001_run001,s12_session001_run001_segment01,2,204
12,s12_session001_run002,s12_session001_run002_segment01,2,221
12,s12_session001_run003,s12_session001_run003_segment01,4,226
12,s12_session001_run004,s12_session001_run004_segment01,3,226
12,s12_session001_run005,s12_session001_run005_segment01,1,202
12,s12_session002_run006,s12_session002_run006_segment01,2,226
12,s12_session002_run007,s12_session002_run007_segment01,4,226
12,s12_session002_run008,s12_session002_run008_segment01,3,202
12,s12_session002_run009,s12_session002_run009_segment01,1,221
12,s12_session002_run010,s12_session002_run010_segment01,4,204
12,s12_session003_run011,s12_session003_run011_segment01,3,204
12,s12_session003_run012,s12_session003_run012_segment01,1,226
12,s12_session003_run013,s12_session003_run013_segment01,4,226
12,s12_session003_run014,s12_session003_run014_segment01,4,202
12,s12_session003_run015,s12_session003_run015_segment01,3,221
12,s12_session004_run016,s12_session004_run016_segment01,3,202
12,s12_session004_run017,s12_session004_run017_segment01,1,204
12,s12_session004_run018,s12_session004_run018_segment01,1,221
12,s12_session004_run019,s12_session004_run019_segment01,3,226
12,s12_session004_run020,s12_session004_run020_segment01,1,226
12,s12_session005_run021,s12_session005_run021_segment01,2,226
12,s12_session005_run022,s12_session005_run022_segment01,4,221
12,s12_session005_run023,s12_session005_run023_segment01,2,204
12,s12_session005_run024,s12_session005_run024_segment01,1,202
12,s12_session005_run025,s12_session005_run025_segment01,1,226
12,s12_session006_run026,s12_session006_run026_segment01,3,204
12,s12_session006_run027,s12_session006_run027_segment01,3,226
12,s12_session006_run028,s12_session006_run028_segment01,3,221
12,s12_session006_run029,s12_session006_run029_segment01,2,226
12,s12_session006_run030,s12_session006_run030_segment01,2,202
